head,browser_group,n_variants,n_pathogenic,auroc_neg,auroc_abs,auroc_best,best_direction
atacseq_fetal_brain_peak,ATAC-seq,5772,1484,0.7384,0.7701,0.7701,abs
atacseq_gm12878_peak,ATAC-seq,11971,2971,0.6973,0.8121,0.8121,abs
atacseq_k562_peak,ATAC-seq,10476,2751,0.729,0.8276,0.8276,abs
atacseq_liver_peak,ATAC-seq,11156,2493,0.6313,0.7585,0.7585,abs
atacseq_lung_peak,ATAC-seq,11185,2459,0.6741,0.7678,0.7678,abs
atacseq_muscle_peak,ATAC-seq,11652,2691,0.6702,0.7992,0.7992,abs
atacseq_tcell_peak,ATAC-seq,11852,2764,0.6802,0.7879,0.7879,abs
chipseq_h3k27ac_fetal_brain_peak,ChIP-seq,11339,3707,0.8221,0.8819,0.8819,abs
chipseq_h3k27ac_gm12878_peak,ChIP-seq,8626,2201,0.8176,0.8571,0.8571,abs
chipseq_h3k27ac_k562_peak,ChIP-seq,11714,2990,0.8074,0.8417,0.8417,abs
chipseq_h3k27ac_liver_peak,ChIP-seq,10877,2743,0.7768,0.8419,0.8419,abs
chipseq_h3k27ac_lung_peak,ChIP-seq,10758,3063,0.7931,0.8499,0.8499,abs
chipseq_h3k27ac_monocyte_peak,ChIP-seq,8513,2335,0.8221,0.8804,0.8804,abs
chipseq_h3k27ac_muscle_peak,ChIP-seq,10114,2933,0.8141,0.8605,0.8605,abs
chipseq_h3k27ac_tcell_peak,ChIP-seq,11027,2682,0.7532,0.8111,0.8111,abs
chipseq_h3k27me3_fetal_brain_peak,ChIP-seq,8777,3108,0.7957,0.8258,0.8258,abs
chipseq_h3k27me3_gm12878_peak,ChIP-seq,412,232,0.7862,0.7951,0.7951,abs
chipseq_h3k27me3_k562_peak,ChIP-seq,136,108,0.817,0.8826,0.8826,abs
chipseq_h3k27me3_liver_peak,ChIP-seq,328,206,0.8725,0.8924,0.8924,abs
chipseq_h3k27me3_lung_peak,ChIP-seq,161,98,0.7765,0.8495,0.8495,abs
chipseq_h3k27me3_monocyte_peak,ChIP-seq,9511,3275,0.8322,0.8586,0.8586,abs
chipseq_h3k27me3_muscle_peak,ChIP-seq,3704,1240,0.8169,0.85,0.85,abs
chipseq_h3k27me3_tcell_peak,ChIP-seq,3307,1236,0.8643,0.8622,0.8643,neg
chipseq_h3k36me3_fetal_brain_peak,ChIP-seq,39268,16033,0.8091,0.8771,0.8771,abs
chipseq_h3k36me3_gm12878_peak,ChIP-seq,7993,3708,0.8863,0.909,0.909,abs
chipseq_h3k36me3_k562_peak,ChIP-seq,33838,14425,0.8455,0.8904,0.8904,abs
chipseq_h3k36me3_liver_peak,ChIP-seq,1386,697,0.9128,0.9176,0.9176,abs
chipseq_h3k36me3_lung_peak,ChIP-seq,5477,2257,0.8829,0.9108,0.9108,abs
chipseq_h3k36me3_monocyte_peak,ChIP-seq,47881,18788,0.8169,0.8783,0.8783,abs
chipseq_h3k36me3_muscle_peak,ChIP-seq,24147,10332,0.8322,0.8925,0.8925,abs
chipseq_h3k36me3_tcell_peak,ChIP-seq,35531,14620,0.8315,0.8913,0.8913,abs
chipseq_h3k4me1_fetal_brain_peak,ChIP-seq,6083,1568,0.822,0.8605,0.8605,abs
chipseq_h3k4me1_gm12878_peak,ChIP-seq,281,154,0.9166,0.9399,0.9399,abs
chipseq_h3k4me1_k562_peak,ChIP-seq,1056,440,0.9072,0.926,0.926,abs
chipseq_h3k4me1_liver_peak,ChIP-seq,480,242,0.8966,0.8968,0.8968,abs
chipseq_h3k4me1_lung_peak,ChIP-seq,4030,1935,0.8846,0.8965,0.8965,abs
chipseq_h3k4me1_monocyte_peak,ChIP-seq,10713,3796,0.889,0.9015,0.9015,abs
chipseq_h3k4me1_muscle_peak,ChIP-seq,5840,1689,0.8326,0.8691,0.8691,abs
chipseq_h3k4me1_tcell_peak,ChIP-seq,8211,2599,0.8562,0.8845,0.8845,abs
chipseq_h3k4me3_fetal_brain_peak,ChIP-seq,18758,5500,0.8149,0.8624,0.8624,abs
chipseq_h3k4me3_gm12878_peak,ChIP-seq,11933,3379,0.8511,0.868,0.868,abs
chipseq_h3k4me3_k562_peak,ChIP-seq,14573,3862,0.8376,0.8666,0.8666,abs
chipseq_h3k4me3_liver_peak,ChIP-seq,16571,4451,0.7728,0.8567,0.8567,abs
chipseq_h3k4me3_lung_peak,ChIP-seq,14186,3433,0.7298,0.8147,0.8147,abs
chipseq_h3k4me3_monocyte_peak,ChIP-seq,15214,4453,0.8275,0.8803,0.8803,abs
chipseq_h3k4me3_muscle_peak,ChIP-seq,15743,4469,0.806,0.8582,0.8582,abs
chipseq_h3k4me3_tcell_peak,ChIP-seq,15422,4175,0.7922,0.8456,0.8456,abs
chipseq_h3k9me3_fetal_brain_peak,ChIP-seq,617,77,0.9068,0.8939,0.9068,neg
chipseq_h3k9me3_gm12878_peak,ChIP-seq,146,60,0.8498,0.8465,0.8498,neg
chipseq_h3k9me3_liver_peak,ChIP-seq,353,67,0.9001,0.9041,0.9041,abs
chipseq_h3k9me3_lung_peak,ChIP-seq,325,21,0.7293,0.8128,0.8128,abs
chipseq_h3k9me3_monocyte_peak,ChIP-seq,2744,721,0.8326,0.8355,0.8355,abs
chipseq_h3k9me3_muscle_peak,ChIP-seq,605,54,0.7165,0.6642,0.7165,neg
chipseq_h3k9me3_tcell_peak,ChIP-seq,990,107,0.865,0.8704,0.8704,abs
ccre_chromatin_none,Chromatin,123896,38561,0.659,0.7765,0.7765,abs
ccre_distal_enhancer,Chromatin,13092,4915,0.8519,0.8878,0.8878,abs
ccre_promoter,Chromatin,8548,2059,0.6378,0.7324,0.7324,abs
ccre_proximal_enhancer,Chromatin,7104,3106,0.8787,0.9001,0.9001,abs
ccre_tf_binding,Chromatin,79,54,0.583,0.6163,0.6163,abs
ccre_type_none,Chromatin,77716,22411,0.4085,0.8444,0.8444,abs
chromhmm_esc_active_tss,Chromatin,13302,2766,0.685,0.7568,0.7568,abs
chromhmm_esc_bivalent,Chromatin,8845,2733,0.7921,0.8257,0.8257,abs
chromhmm_esc_enhancer,Chromatin,371,139,0.7766,0.8557,0.8557,abs
chromhmm_esc_none,Chromatin,31372,6111,0.5625,0.8626,0.8626,abs
chromhmm_esc_repressed,Chromatin,2721,908,0.813,0.881,0.881,abs
chromhmm_esc_transcribed,Chromatin,66066,24262,0.7414,0.8515,0.8515,abs
chromhmm_fetal_brain_active_tss,Chromatin,13369,2967,0.6772,0.789,0.789,abs
chromhmm_fetal_brain_bivalent,Chromatin,2686,1138,0.8371,0.8469,0.8469,abs
chromhmm_fetal_brain_enhancer,Chromatin,613,159,0.8263,0.8562,0.8562,abs
chromhmm_fetal_brain_none,Chromatin,17913,3525,0.6364,0.8622,0.8622,abs
chromhmm_fetal_brain_repressed,Chromatin,5935,2004,0.7079,0.8567,0.8567,abs
chromhmm_fetal_brain_transcribed,Chromatin,67471,24351,0.7455,0.8491,0.8491,abs
chromhmm_gm12878_active_tss,Chromatin,14136,3251,0.7311,0.8099,0.8099,abs
chromhmm_gm12878_bivalent,Chromatin,192,95,0.8915,0.8884,0.8915,neg
chromhmm_gm12878_enhancer,Chromatin,95,56,0.8049,0.826,0.826,abs
chromhmm_gm12878_none,Chromatin,33054,7775,0.6064,0.8602,0.8602,abs
chromhmm_gm12878_repressed,Chromatin,3827,1287,0.7652,0.8656,0.8656,abs
chromhmm_gm12878_transcribed,Chromatin,53572,19321,0.7351,0.8586,0.8586,abs
chromhmm_hippocampus_active_tss,Chromatin,14185,3425,0.7184,0.8101,0.8101,abs
chromhmm_hippocampus_bivalent,Chromatin,3583,1414,0.8503,0.8565,0.8565,abs
chromhmm_hippocampus_enhancer,Chromatin,694,340,0.8794,0.9052,0.9052,abs
chromhmm_hippocampus_none,Chromatin,21175,3296,0.5942,0.8605,0.8605,abs
chromhmm_hippocampus_repressed,Chromatin,3309,1446,0.749,0.8404,0.8404,abs
chromhmm_hippocampus_transcribed,Chromatin,64046,23422,0.7467,0.8625,0.8625,abs
chromhmm_k562_active_tss,Chromatin,14745,3387,0.7491,0.8012,0.8012,abs
chromhmm_k562_enhancer,Chromatin,389,193,0.7699,0.8451,0.8451,abs
chromhmm_k562_none,Chromatin,23152,5344,0.6453,0.8609,0.8609,abs
chromhmm_k562_repressed,Chromatin,12521,4161,0.7636,0.8609,0.8609,abs
chromhmm_k562_transcribed,Chromatin,53261,19353,0.7688,0.8718,0.8718,abs
chromhmm_liver_active_tss,Chromatin,5381,1108,0.7165,0.761,0.761,abs
chromhmm_liver_bivalent,Chromatin,7673,2451,0.8261,0.8477,0.8477,abs
chromhmm_liver_enhancer,Chromatin,693,244,0.7213,0.8012,0.8012,abs
chromhmm_liver_none,Chromatin,16905,3519,0.6741,0.8551,0.8551,abs
chromhmm_liver_repressed,Chromatin,12734,3202,0.5895,0.8449,0.8449,abs
chromhmm_liver_transcribed,Chromatin,55049,19959,0.7855,0.8768,0.8768,abs
chromhmm_lung_active_tss,Chromatin,14626,3186,0.7033,0.7774,0.7774,abs
chromhmm_lung_bivalent,Chromatin,809,576,0.9272,0.9341,0.9341,abs
chromhmm_lung_enhancer,Chromatin,1874,817,0.8537,0.8881,0.8881,abs
chromhmm_lung_none,Chromatin,25180,4584,0.5126,0.8712,0.8712,abs
chromhmm_lung_repressed,Chromatin,805,294,0.823,0.8719,0.8719,abs
chromhmm_lung_transcribed,Chromatin,68856,25074,0.7811,0.8661,0.8661,abs
chromhmm_monocyte_active_tss,Chromatin,12603,2815,0.7115,0.7792,0.7792,abs
chromhmm_monocyte_bivalent,Chromatin,2528,1015,0.8506,0.8598,0.8598,abs
chromhmm_monocyte_enhancer,Chromatin,836,371,0.8409,0.8966,0.8966,abs
chromhmm_monocyte_none,Chromatin,27966,5913,0.5183,0.851,0.851,abs
chromhmm_monocyte_repressed,Chromatin,5043,1565,0.7501,0.8579,0.8579,abs
chromhmm_monocyte_transcribed,Chromatin,56511,20423,0.7654,0.8697,0.8697,abs
chromhmm_muscle_active_tss,Chromatin,14641,3441,0.7431,0.8088,0.8088,abs
chromhmm_muscle_bivalent,Chromatin,2584,1033,0.8314,0.8544,0.8544,abs
chromhmm_muscle_enhancer,Chromatin,477,83,0.8383,0.8465,0.8465,abs
chromhmm_muscle_none,Chromatin,39529,8148,0.4863,0.879,0.879,abs
chromhmm_muscle_repressed,Chromatin,3485,1512,0.7861,0.8472,0.8472,abs
chromhmm_muscle_transcribed,Chromatin,50791,18523,0.7619,0.8797,0.8797,abs
chromhmm_tcell_active_tss,Chromatin,11977,2638,0.7354,0.8061,0.8061,abs
chromhmm_tcell_bivalent,Chromatin,6051,1866,0.7413,0.8003,0.8003,abs
chromhmm_tcell_enhancer,Chromatin,3040,1266,0.8771,0.887,0.887,abs
chromhmm_tcell_none,Chromatin,8674,1746,0.7191,0.8424,0.8424,abs
chromhmm_tcell_repressed,Chromatin,25645,6686,0.5649,0.8474,0.8474,abs
chromhmm_tcell_transcribed,Chromatin,49264,17623,0.6945,0.8662,0.8662,abs
fstack_is_enhancer,Chromatin,5561,1103,0.6622,0.8367,0.8367,abs
fstack_is_promoter,Chromatin,5307,663,0.6417,0.6857,0.6857,abs
fstack_is_quiescent,Chromatin,37851,14726,0.8151,0.8855,0.8855,abs
fstack_is_repressed,Chromatin,43365,15625,0.788,0.8813,0.8813,abs
fstack_is_transcribed,Chromatin,848,309,0.8268,0.8451,0.8451,abs
fstack_none,Chromatin,89,77,0.7089,0.8712,0.8712,abs
interpro_Alpha_Beta_hydrolase_fold,InterPro,569,338,0.832,0.8357,0.8357,abs
interpro_Ankyrin_repeat,InterPro,746,174,0.8209,0.8525,0.8525,abs
interpro_Ankyrin_repeat_containing_domain_superfamily,InterPro,990,304,0.7461,0.7865,0.7865,abs
interpro_Armadillo,InterPro,117,29,0.8911,0.9052,0.9052,abs
interpro_Armadillo_like_helical,InterPro,424,109,0.8194,0.8646,0.8646,abs
interpro_Armadillo_type_fold,InterPro,542,167,0.8298,0.8671,0.8671,abs
interpro_B_box_type_zinc_finger,InterPro,103,36,0.8615,0.8089,0.8615,neg
interpro_Butyrophylin_like_SPRY_domain,InterPro,200,44,0.642,0.6576,0.6576,abs
interpro_C2_domain,InterPro,133,64,0.9015,0.9169,0.9169,abs
interpro_C2_domain_superfamily,InterPro,236,118,0.8934,0.9328,0.9328,abs
interpro_CUB_domain,InterPro,155,58,0.7919,0.8241,0.8241,abs
interpro_Cadherin_like,InterPro,458,198,0.7473,0.7539,0.7539,abs
interpro_Cadherin_like_superfamily,InterPro,559,227,0.7649,0.8046,0.8046,abs
interpro_Calponin_homology_domain,InterPro,53,35,0.9143,0.9127,0.9143,neg
interpro_Collagen_triple_helix_repeat,InterPro,419,296,0.8114,0.8186,0.8186,abs
interpro_Concanavalin_A_like_lectin_glucanase_domain_superfamily,InterPro,823,367,0.8449,0.8656,0.8656,abs
interpro_Cytochrome_P450,InterPro,1852,746,0.715,0.7696,0.7696,abs
interpro_Cytochrome_P450_E_class_group_I,InterPro,140,83,0.8596,0.884,0.884,abs
interpro_EF_Hand_1_calcium_binding_site,InterPro,202,132,0.7758,0.8792,0.8792,abs
interpro_EF_hand_domain,InterPro,467,272,0.8011,0.826,0.826,abs
interpro_EF_hand_domain_pair,InterPro,322,148,0.7885,0.8255,0.8255,abs
interpro_EGF_like_calcium_binding_conserved_site,InterPro,149,100,0.888,0.8839,0.888,neg
interpro_EGF_like_calcium_binding_domain,InterPro,923,499,0.8387,0.8595,0.8595,abs
interpro_EGF_like_domain,InterPro,1880,946,0.8192,0.8302,0.8302,abs
interpro_EGF_type_aspartate_asparagine_hydroxylation_site,InterPro,289,196,0.9373,0.9364,0.9373,neg
interpro_Fibronectin_type_III,InterPro,796,328,0.7984,0.8161,0.8161,abs
interpro_Fibronectin_type_III_superfamily,InterPro,918,404,0.7962,0.8227,0.8227,abs
interpro_Fork_head_domain,InterPro,712,579,0.9468,0.9704,0.9704,abs
interpro_GPCR_family_2_secretin_like,InterPro,258,104,0.7785,0.8116,0.8116,abs
interpro_GPCR_rhodopsin_like_7TM,InterPro,2965,683,0.6714,0.738,0.738,abs
interpro_G_protein_coupled_receptor_rhodopsin_like,InterPro,2828,856,0.7365,0.7707,0.7707,abs
interpro_Growth_factor_receptor_cysteine_rich_domain_superfamily,InterPro,529,287,0.8073,0.8149,0.8149,abs
interpro_Helicase_C_terminal_domain_like,InterPro,370,255,0.9039,0.9164,0.9164,abs
interpro_Helicase_superfamily_1_2_ATP_binding_domain,InterPro,591,367,0.8937,0.9071,0.9071,abs
